id_n,Year,CONS_total,vat,VAT_Rate
86152,2018,209779700,9902749,4.7%
93456,2018,40787840,1689947,4.1%
94475,2018,33741920,1604169,4.8%
130366,2018,17635900,363767,2.1%
220188,2018,30961600,1042751,3.4%
233423,2018,91099000,4012126,4.4%
236907,2018,82511000,3638771,4.4%
117672,2018,196384600,14135986,7.2%
77587,2018,24976200,804180,3.2%
76777,2018,60531000,3284645,5.4%
43775,2018,19968000,783279,3.9%
67641,2018,32212764,939103,2.9%
238979,2018,50369487,1330802,2.6%
78039,2018,50022600,1857276,3.7%
88634,2018,30924600,1020140,3.3%
270392,2018,7035700,67189,1.0%
124041,2018,28001680,923509,3.3%
172409,2018,46510280,1620094,3.5%
102004,2018,35835000,1042324,2.9%
291923,2018,46064800,1307921,2.8%
98681,2018,13906800,591047,4.3%
52253,2018,109925600,3211744,2.9%
43029,2018,44698000,2041463,4.6%
262115,2018,29803880,870685,2.9%
132537,2018,77514000,3913423,5.0%
88604,2018,56315600,3021178,5.4%
27012,2018,57470600,1527849,2.7%
192951,2018,30239000,653150,2.2%
14575,2018,52032000,1907622,3.7%
211510,2018,38152960,700813,1.8%
133725,2018,55309000,2464892,4.5%
281485,2018,26538000,1462604,5.5%
173014,2018,33748000,1716793,5.1%
171062,2018,52243028,2125696,4.1%
89331,2018,67469360,2786599,4.1%
8882,2018,36999780,1069260,2.9%
111161,2018,114036000,4631568,4.1%
120120,2018,53109200,2242074,4.2%
244948,2018,23775600,876906,3.7%
13178,2018,32528000,1703811,5.2%
98808,2018,15517400,503555,3.2%
137614,2018,38175200,989663,2.6%
86713,2018,222402726,7012064,3.2%
268541,2018,67255233,5384035,8.0%
77283,2018,9576800,141151,1.5%
195711,2018,79204000,3580591,4.5%
214758,2018,33934000,1359144,4.0%
146399,2018,65635550,2895150,4.4%
32737,2018,45952800,1980297,4.3%
179482,2018,59403600,1951350,3.3%
151107,2018,16292462,486607,3.0%
243875,2018,11309440,309096,2.7%
220758,2018,27550400,1034436,3.8%
211965,2018,50739600,3217614,6.3%
225023,2018,26714000,1363232,5.1%
156697,2018,31695000,1114096,3.5%
269397,2018,126623864,9365937,7.4%
258851,2018,40006200,839878,2.1%
16047,2018,16209000,449613,2.8%
38626,2018,57441000,2011200,3.5%
189150,2018,63087000,1769532,2.8%
187718,2018,2268200,35458,1.6%
70374,2018,34296000,1111398,3.2%
52343,2018,74579600,3468579,4.7%
159289,2018,37428600,2163670,5.8%
157525,2018,37990700,1519197,4.0%
249437,2018,99012800,3528396,3.6%
276688,2018,29257400,622611,2.1%
79088,2018,32302000,1387883,4.3%
88740,2018,35941800,823383,2.3%
287472,2018,199558600,12260501,6.1%
283746,2018,17006000,307411,1.8%
2763,2018,28216216,1221392,4.3%
269956,2018,22098648,850765,3.8%
47587,2018,43598800,2164739,5.0%
27423,2018,58588200,1758155,3.0%
47068,2018,96075600,4521292,4.7%
65977,2018,21684400,924616,4.3%
222830,2018,5616000,216553,3.9%
92187,2018,43140188,2054404,4.8%
97230,2018,41842000,1431850,3.4%
170892,2018,28006104,1181517,4.2%
270421,2018,18974664,547275,2.9%
7373,2018,21864000,573114,2.6%
251089,2018,101365000,6408308,6.3%
111697,2018,65987800,1824555,2.8%
272460,2018,77378960,3074083,4.0%
236275,2018,17238000,678432,3.9%
224757,2018,21828200,328474,1.5%
131623,2018,38181400,1632649,4.3%
19472,2018,81069944,3480708,4.3%
181748,2018,19154000,927369,4.8%
285473,2018,40742000,2097150,5.1%
99030,2018,81810200,2971784,3.6%
219501,2018,41854600,1227580,2.9%
249140,2018,14491440,288743,2.0%
39356,2018,57088000,1287610,2.3%
103912,2018,72799400,3016964,4.1%
70534,2018,71633000,3699241,5.2%
3883,2018,43467800,1350508,3.1%
236168,2018,13467000,274984,2.0%
187846,2018,37947800,871557,2.3%
201217,2018,93697000,2557789,2.7%
217987,2018,57181600,2926674,5.1%
246576,2018,36879320,1312052,3.6%
128503,2018,89454000,5893027,6.6%
32886,2018,49537000,1998979,4.0%
10892,2018,39712200,1759941,4.4%
19406,2018,69463560,2981607,4.3%
72669,2018,38207000,2513901,6.6%
226329,2018,35398720,788653,2.2%
220591,2018,48160000,1927160,4.0%
181030,2018,16348200,572456,3.5%
158380,2018,36116592,1682503,4.7%
126476,2018,37604320,1140365,3.0%
282552,2018,18625000,791670,4.3%
99261,2018,33971000,1585268,4.7%
154554,2018,23128800,1018132,4.4%
9898,2018,16035160,410391,2.6%
59711,2018,41948284,2870736,6.8%
282959,2018,23522000,1294829,5.5%
168472,2018,21349900,780710,3.7%
138187,2018,39786000,1499171,3.8%
178019,2018,119686200,2970514,2.5%
151966,2018,6740000,283899,4.2%
243924,2018,57607600,1781229,3.1%
81133,2018,65617800,2128072,3.2%
168545,2018,11766720,179724,1.5%
8361,2018,20162320,535071,2.7%
154861,2018,12210400,371948,3.0%
198978,2018,90574600,3519747,3.9%
200382,2018,7639000,44595,0.6%
237145,2018,40633200,1078004,2.7%
147913,2018,19439000,1085143,5.6%
171207,2018,21007200,833058,4.0%
37798,2018,32395880,1119244,3.5%
208672,2018,20765600,675380,3.3%
176948,2018,45577400,2544650,5.6%
224147,2018,71677200,3226795,4.5%
117167,2018,19975600,664926,3.3%
141644,2018,69001996,3955837,5.7%
119713,2018,46283600,2344306,5.1%
147468,2018,34392600,1066376,3.1%
112171,2018,58293760,1675013,2.9%
127103,2018,35577200,1810719,5.1%
98002,2018,44407116,1161747,2.6%
31229,2018,71360800,3996667,5.6%
233222,2018,31105000,1088613,3.5%
37985,2018,107346000,4778993,4.5%
10717,2018,80750000,2977135,3.7%
41424,2018,77703000,2846717,3.7%
272732,2018,57612508,2202766,3.8%
236362,2018,34875000,1062728,3.0%
150149,2018,49010820,1818650,3.7%
22399,2018,38539600,1525750,4.0%
151455,2018,15486800,638753,4.1%
274743,2018,48532000,1725278,3.6%
86973,2018,44866000,2202840,4.9%
55732,2018,54146840,2315178,4.3%
230082,2018,32487800,953710,2.9%
118095,2018,11514420,467104,4.1%
235238,2018,22545600,853962,3.8%
10694,2018,102263728,4106770,4.0%
117093,2018,61808200,3404679,5.5%
57202,2018,24587000,1137063,4.6%
77102,2018,67738200,3048387,4.5%
214892,2018,30669000,777317,2.5%
