id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
213386,2018,38438522,1989950,1989950,2151471,161522
132223,2018,12690000,406733,406733,439752,33019
236320,2018,13544000,494901,494901,535071,40171
243722,2018,24368400,821234,821234,887893,66659
184732,2018,53267869,2213180,2213180,2392821,179641
70625,2018,24372800,795132,795132,859671,64540
265897,2018,145146960,8936142,8936142,9661491,725349
11220,2018,43731996,2028105,2028105,2192733,164629
262016,2018,25974800,1121337,1121337,1212359,91023
184369,2018,49670000,2500085,2500085,2703028,202944
185314,2018,21362300,697559,697559,754215,56655
89199,2018,42150000,1932135,1932135,2088964,156829
155711,2018,49497524,1862610,1862610,2013853,151243
51284,2018,53765600,1979065,1979065,2139738,160673
71003,2018,44922480,1519245,1519245,1642592,123346
119546,2018,17730200,569927,569927,616189,46262
191225,2018,23489600,460870,460870,498279,37408
105706,2018,33090000,1377013,1377013,1488788,111775
259191,2018,36961800,1836119,1836119,1985159,149041
162071,2018,22235990,600855,600855,649631,48775
13670,2018,40842360,1067036,1067036,1153646,86610
